Gender,Age,Height,Weight,BMI
Female,23,67.21474,109.0055,저체중
Male,18,69.42021,128.2705,정상
Female,31,68.94396,135.2913,정상
Male,30,67.9415,106.8558,저체중
Female,31,65.62506,123.2939,정상
Female,23,66.49607,109.5143,저체중
Male,29,67.92809,119.3087,저체중
Male,21,68.89415,140.2402,정상
Female,33,70.241,133.9841,정상
Female,28,68.26623,132.5807,정상
Female,35,71.23161,130.6988,저체중
Female,18,69.09747,115.5637,저체중
Female,24,64.39693,123.7941,정상
Female,35,71.09585,128.1427,저체중
Male,22,68.21868,135.9646,정상
Female,29,65.91721,116.6273,정상
Female,34,67.4369,126.8241,정상
Female,24,73.90107,151.3913,정상
Male,35,69.98149,130.4022,정상
Male,32,69.51862,136.2068,정상
Male,25,65.18437,113.3989,정상
Female,27,68.00869,125.3287,정상
Female,29,68.3384,127.5846,정상
Male,22,65.18417,107.1564,저체중
Female,20,68.26209,116.4588,저체중
Female,28,68.56865,133.8402,정상
Female,30,64.49675,112.8901,정상
Male,19,68.71053,130.7568,정상
Male,25,68.89148,137.7571,정상
Female,31,69.54011,125.4036,저체중
Female,31,67.39964,138.4659,정상
Female,25,66.47521,120.8184,정상
Male,24,66.01217,140.1539,정상
Male,29,72.44434,136.7397,저체중
Female,25,64.12642,106.1139,저체중
Male,28,70.98112,158.9562,정상
Male,19,67.50124,108.7868,저체중
Male,19,72.01515,138.7758,정상
Female,19,65.31143,115.9136,정상
Female,32,67.07509,146.2922,정상
Male,21,64.39148,109.8765,정상
Male,32,69.37003,139.0499,정상
Female,20,68.37921,119.9001,저체중
Female,28,65.31018,128.3069,정상
Male,20,67.1369,127.2428,정상
Female,30,68.39468,115.2306,저체중
Male,26,66.2918,124.7975,정상
Male,18,67.1866,126.9511,정상
Female,33,65.99156,111.2711,저체중
Male,29,69.43393,122.6089,저체중
Male,27,67.97463,124.2084,정상
Male,29,67.76133,124.6453,정상
Male,24,65.27864,119.5169,정상
Male,18,73.83364,139.2983,저체중
Female,26,66.81312,104.8265,저체중
Female,32,66.89411,123.0424,정상
Male,22,65.73568,118.8923,정상
Male,21,65.98283,121.4939,정상
Female,21,66.58396,119.2488,정상
Male,24,67.11294,135.0239,정상
Female,23,65.87481,116.228,정상
Male,22,66.78067,109.1731,저체중
Male,22,68.73577,124.2237,저체중
Male,29,66.22666,141.1645,정상
Male,19,65.95968,129.1501,정상
Male,19,68.58372,127.8693,정상
Female,34,66.59347,120.9244,정상
Male,27,66.96574,127.6466,정상
Female,19,68.08015,101.4693,저체중
Male,32,70.19025,144.9927,정상
Female,18,65.52149,110.9523,저체중
Male,31,67.45905,132.8625,정상
Female,32,67.40985,146.3385,정상
Female,27,69.66158,145.5894,정상
Female,30,65.79799,120.8431,정상
Female,30,66.10558,115.7813,정상
Male,26,68.23987,128.3019,정상
Female,24,68.02403,127.4718,정상
Female,31,71.39044,127.8761,저체중
Male,18,65.7316,121.4997,정상
Male,28,66.43358,112.7148,저체중
Female,24,70.01309,135.002,정상
Male,32,69.48146,128.6789,정상
Female,34,68.62764,124.4062,정상
Female,34,68.36275,140.026,정상
Male,25,68.39028,117.519,저체중
Female,25,68.77413,143.8737,정상
Female,31,69.9236,141.1703,정상
Female,33,71.55542,155.9414,정상
Female,30,68.44764,134.0093,정상
Female,23,66.71398,130.0975,정상
Female,28,66.68413,106.2265,저체중
Female,24,67.93699,112.0489,저체중
Female,21,68.89855,136.1884,정상
Female,35,67.29191,131.236,정상
Male,30,69.57212,131.3231,정상
Female,30,67.67479,119.5261,저체중
Male,23,69.04155,116.9965,저체중
Female,19,67.96765,138.5255,정상
Female,28,65.83982,109.6518,저체중
Male,32,65.77288,130.1569,정상
Female,27,71.14106,137.1114,정상
Male,33,67.83055,113.759,저체중
Female,23,65.0693,114.9725,정상
Male,19,69.70745,127.7149,저체중
Female,28,69.92983,121.9972,저체중
Male,18,66.11569,117.9607,정상
Male,22,68.61364,127.7141,정상
Female,18,68.9976,117.9619,저체중
Female,32,66.79171,125.1554,정상
Female,25,68.02363,141.1026,정상
Male,28,69.67258,145.4822,정상
Female,30,71.82178,116.065,저체중
Female,35,72.74676,135.7458,저체중
Male,32,67.27951,132.9248,정상
Female,26,67.41015,115.6622,저체중
Female,33,68.5315,114.3184,저체중
Female,23,68.47126,148.952,정상
Female,21,68.51867,142.1878,정상
Male,31,63.72529,134.104,정상
Male,21,67.70483,141.8926,정상
Female,19,69.47115,138.7444,정상
Male,35,66.70198,134.449,정상
Male,32,65.23126,117.0167,정상
Male,35,69.89473,115.6752,저체중
Female,34,69.83048,134.7905,정상
Female,31,65.3979,120.5746,정상
Male,20,68.32214,120.0835,저체중
Male,29,65.93895,84.3598,저체중
Male,20,70.09805,138.9394,정상
Female,35,66.05531,143.5245,정상
Female,33,68.23481,123.1347,정상
Male,33,65.21758,115.5261,정상
Male,25,69.16173,120.9844,저체중
Female,25,67.60064,120.6473,정상
Female,31,67.28621,124.0352,정상
Male,24,66.84323,117.2238,저체중
Female,33,68.08281,127.9598,정상
Female,29,66.56991,116.7527,정상
Male,18,70.16973,121.9957,저체중
Female,27,67.85113,123.9952,정상
Male,29,66.62309,108.855,저체중
Male,18,63.68816,104.6574,저체중
Male,28,68.0356,132.248,정상
Female,33,66.941,127.1834,정상
Male,19,66.26292,125.1209,정상
Female,27,70.7301,133.322,정상
Male,19,70.70844,122.3364,저체중
Female,35,73.26872,130.2636,저체중
Female,30,63.79021,116.7431,정상
Female,27,67.84109,125.8534,정상
Female,34,67.78058,100.627,저체중
Female,28,67.23901,118.4945,저체중
Female,21,66.75701,137.1255,정상
Female,35,69.03098,118.6991,저체중
Male,34,68.52652,124.1641,정상
Female,21,64.65419,124.9442,정상
Male,29,65.14295,126.3889,정상
Male,28,66.74124,121.5255,정상
Male,35,66.99923,133.2951,정상
Female,26,70.26611,127.4072,저체중
Male,33,67.57666,125.08,정상
Male,24,66.30582,102.8114,저체중
Female,32,68.90702,134.2212,정상
Female,27,65.60543,100.9758,저체중
Female,19,68.00189,145.8886,정상
Female,28,69.93715,155.3046,정상
Male,20,70.1459,138.7175,정상
Female,24,66.66364,116.2611,저체중
Female,32,69.40676,120.6087,저체중
Male,31,66.80598,114.4083,저체중
Male,34,67.70048,133.3406,정상
Female,22,69.13438,92.74955,저체중
Male,23,67.53769,131.7825,정상
Male,28,65.77912,118.3865,정상
Male,31,66.25769,131.1466,정상
Female,27,67.39038,130.2033,정상
Female,33,64.94327,129.1836,정상
Female,33,69.25699,143.1445,정상
Male,22,69.07739,138.7307,정상
Male,20,69.64403,130.9528,정상
Female,30,69.07705,124.3032,저체중
Female,21,68.01304,135.3702,정상
Female,28,68.85664,124.1988,저체중
Male,27,63.19158,111.2389,정상
Female,32,65.57591,129.4037,정상
Female,33,69.12101,127.7444,정상
Female,34,69.78765,121.3311,저체중
Female,18,67.48203,118.2183,저체중
Male,26,69.08809,123.3441,저체중
Male,22,68.5529,151.9118,정상
Female,32,68.21327,115.3108,저체중
Male,26,67.1012,122.3844,정상
Male,29,71.23661,129.2323,저체중
Male,32,69.11946,138.2824,정상
Male,18,65.49848,144.0565,정상
Female,20,66.58706,120.8482,정상
Female,25,67.99831,113.3034,저체중
Male,24,72.57747,149.3227,정상
Female,21,67.97585,130.6373,정상
Male,25,66.62347,122.387,정상
Female,34,67.29574,133.8677,정상
Male,27,65.95951,134.8336,정상
Female,33,66.54011,137.8363,정상
Female,31,68.07723,112.6812,저체중
Male,35,65.83291,121.1964,정상
Male,20,69.23721,114.9262,저체중
Male,32,64.69413,110.3762,정상
Female,19,69.21372,126.0337,저체중
Male,34,67.16792,118.7008,저체중
Male,22,67.8467,119.3108,저체중
Male,33,69.27389,150.7397,정상
Female,28,67.90547,121.1142,저체중
Female,33,67.076,118.4065,정상
Female,21,70.01531,142.759,정상
Male,21,70.05454,145.6305,정상
Male,31,70.86714,127.3425,저체중
Male,20,66.0586,115.9678,정상
Female,21,65.23745,104.4441,저체중
Female,32,68.7413,138.4905,정상
Female,30,69.51946,145.5049,정상
Male,34,70.30764,124.4065,저체중
Male,21,67.29982,124.1866,정상
Male,24,67.60582,126.1659,정상
Male,27,67.85566,138.8125,정상
Male,33,66.46536,121.5515,정상
Male,18,68.92071,114.2555,저체중
Male,22,68.46886,129.4022,정상
Female,20,69.5193,137.5583,정상
Male,29,70.23956,134.4996,정상
Male,24,67.85651,127.7103,정상
Male,32,68.00435,115.6709,저체중
Female,34,67.13983,131.5906,정상
Male,23,68.09931,127.5839,정상
Female,22,68.99077,125.7211,정상
Male,32,69.32618,119.9885,저체중
Male,32,70.09286,140.8676,정상
Female,35,68.74304,136.9164,정상
Female,34,64.18633,118.4759,정상
Female,22,66.09074,129.5516,정상
Female,35,69.24418,152.0714,정상
Female,30,69.66512,120.8646,저체중
Female,23,68.42721,136.1027,정상
Female,32,68.28613,130.0611,정상
Female,19,69.37684,131.7743,정상
Male,25,68.35315,139.38,정상
Female,23,72.32489,168.229,정상
Female,24,70.37159,127.6446,저체중
Female,23,65.72927,131.8008,정상
Female,35,66.49627,122.8561,정상
Male,30,70.81339,140.2133,정상
Female,21,67.37579,142.6929,정상
Male,22,67.79709,137.4299,정상
Male,22,68.1607,126.0392,정상
Female,27,68.85782,143.5985,정상
Female,24,67.71342,122.62,정상
Female,18,64.66007,108.6044,저체중
Female,24,65.73721,100.6617,저체중
Male,30,68.42441,116.1397,저체중
Female,31,68.88946,140.5293,정상
Male,20,68.27367,125.6907,정상
Male,30,69.18045,134.3329,정상
Male,19,72.60996,136.4649,저체중
Male,31,66.04157,127.8822,정상
Male,35,69.2288,123.1361,저체중
Female,21,68.87697,116.3375,저체중
Male,23,66.46042,124.5581,정상
Male,23,69.30444,125.7853,저체중
Male,31,67.58249,107.5905,저체중
Female,27,69.41816,143.0236,정상
Male,29,67.46867,118.7434,저체중
Female,32,66.44873,118.9856,정상
Male,30,68.76185,131.8744,정상
Male,27,63.76881,119.3691,정상
Female,34,69.03663,126.1223,정상
Male,35,66.48966,126.6122,정상
Female,23,66.74224,113.5597,저체중
Male,23,67.69394,115.8413,저체중
Male,30,66.69066,130.2738,정상
Female,20,67.02877,125.4542,정상
Female,22,65.91096,117.1655,정상
Female,32,70.0304,137.3184,정상
Female,27,69.26978,149.4447,정상
Female,35,70.07695,151.0695,정상
Female,27,64.90942,116.9994,정상
Male,20,69.68744,138.1787,정상
Female,31,67.56524,127.621,정상
Male,27,63.85529,120.7514,정상
Male,33,71.6189,144.2537,정상
Female,21,64.98993,105.7939,저체중
Male,26,64.60759,120.1567,정상
Male,28,62.01666,109.0848,정상
Female,22,65.28516,125.971,정상
Male,34,67.70163,110.2325,저체중
Male,30,70.85794,134.4706,정상
Female,22,68.17075,115.5067,저체중
Female,35,67.45006,125.1086,정상
Female,23,71.04224,116.4113,저체중
Female,25,67.83032,133.3944,정상
Female,29,67.15488,108.7478,저체중
Male,33,68.30289,134.3986,정상
Female,26,65.41208,131.2085,정상
Male,22,68.66755,130.8318,정상
Female,18,70.06733,127.0838,저체중
Male,33,69.13413,119.4067,저체중
Male,32,67.02078,105.5616,저체중
Male,20,65.52274,134.4733,정상
Female,25,70.19808,132.6897,정상
Male,29,67.66866,126.058,정상
Male,27,69.73257,126.3532,저체중
Female,35,67.61719,142.3603,정상
Female,21,70.79589,124.5873,저체중
Female,23,69.65804,122.3604,저체중
Male,26,66.73277,123.2298,정상
Female,32,67.58008,131.4049,정상
Female,32,65.25317,124.3037,정상
Male,30,70.71387,128.3836,저체중
Male,32,71.27374,136.853,정상
Male,28,66.55913,118.0569,정상
Female,33,68.04247,121.4969,저체중
Male,20,68.11699,119.2811,저체중
Female,24,71.2367,126.5545,저체중
Female,24,66.92387,129.2477,정상
Female,18,71.10381,134.7804,정상
Male,29,69.41466,146.0725,정상
Female,22,69.16807,162.4109,정상
Male,29,68.57725,130.1885,정상
Male,30,69.60315,132.1941,정상
Male,25,69.05087,127.4591,정상
Female,30,68.28699,125.3466,정상
Male,19,69.25276,134.7559,정상
Male,19,68.23862,121.9395,저체중
Male,21,67.6868,125.6688,정상
Male,24,68.84083,145.956,정상
Female,26,69.52061,119.9207,저체중
Female,32,66.97668,111.5093,저체중
Female,25,72.0053,138.676,정상
Male,23,67.44482,135.0151,정상
Male,24,66.06214,116.509,정상
Male,23,65.5747,123.9575,정상
Female,35,68.30171,136.952,정상
Male,30,71.02603,153.0797,정상
Female,21,70.76882,126.357,저체중
Female,27,67.50812,145.0614,정상
Female,18,69.50936,135.1739,정상
Male,33,66.4455,108.806,저체중
Female,21,68.5689,110.5155,저체중
Female,30,67.01296,138.2685,정상
Male,25,68.70004,119.5111,저체중
Male,20,68.23013,115.3214,저체중
Female,23,70.40713,132.3684,정상
Female,33,65.69989,93.99438,저체중
Male,33,65.7031,127.4051,정상
Female,31,68.48055,134.3024,정상
Female,33,66.62891,124.9721,정상
Male,26,66.84285,124.072,정상
Female,28,69.89734,133.5476,정상
Female,20,67.6543,134.1509,정상
Female,35,68.30917,130.2489,정상
Male,21,69.74848,138.0935,정상
Female,34,68.57906,126.6064,정상
Female,22,68.14477,131.8076,정상
Male,25,67.98093,131.7363,정상
Male,34,64.82535,117.6261,정상
Male,21,69.20785,126.1943,정상
Male,23,69.2656,127.5132,정상
Male,31,70.9403,142.4785,정상
Male,24,69.07826,139.444,정상
Female,27,66.20183,110.3204,저체중
Female,27,71.05779,131.9541,저체중
Male,25,68.99493,129.2037,정상
Male,19,70.96089,124.3513,저체중
Male,26,66.02496,126.5251,정상
Female,34,69.8641,149.2303,정상
Female,24,66.82802,142.1577,정상
Male,22,69.09424,127.1436,정상
Female,20,66.81425,122.3353,정상
Female,27,67.13183,112.6659,저체중
Male,18,64.57428,134.2647,정상
Female,23,68.68038,120.6936,저체중
Male,32,67.53724,115.783,저체중
Male,33,71.17732,128.6855,저체중
Male,34,70.53514,134.7611,정상
Female,34,71.53411,118.3419,저체중
Male,33,66.77301,106.1557,저체중
Female,27,66.33636,126.3823,정상
Female,34,64.83095,114.3716,정상
Male,32,68.38247,130.2787,정상
Female,22,68.05038,123.3066,정상
Female,25,69.09149,122.8571,저체중
Male,27,69.91046,125.6932,저체중
Male,22,68.40737,111.7247,저체중
Female,21,68.32559,125.5516,정상
Male,30,66.95555,119.9702,정상
Female,32,70.54816,132.6043,정상
Male,25,69.37805,132.6738,정상
Female,26,67.52012,117.4521,저체중
Female,19,64.87142,101.8549,저체중
Female,34,69.13396,128.4418,정상
Female,29,68.81192,134.0414,정상
Female,28,67.56446,127.7511,정상
Male,26,68.16772,127.6172,정상
Female,27,65.80687,139.3971,정상
Male,32,64.92276,113.9381,정상
Female,25,68.35584,147.5188,정상
Female,27,66.71546,132.6523,정상
Female,31,69.18196,132.8139,정상
Male,27,65.88795,105.0942,저체중
Female,34,66.03733,127.5187,정상
Male,26,69.44194,130.7305,정상
Male,22,67.14847,128.5815,정상
Female,27,65.69442,122.5699,정상
Male,32,69.42723,157.2961,정상
Female,23,66.54503,121.1097,정상
Male,23,69.04469,147.5061,정상
Male,27,67.62036,117.493,저체중
Female,21,69.59105,132.4472,정상
Male,33,68.12343,118.1774,저체중
Female,30,71.22641,123.7319,저체중
Female,23,66.43285,130.365,정상
Female,34,66.31808,122.8882,정상
Male,25,68.02724,107.8693,저체중
Male,22,68.2876,118.591,저체중
Female,32,66.91609,125.6467,정상
Female,35,71.77546,148.6016,정상
Male,22,66.04535,150.279,정상
Female,23,69.01455,127.0678,정상
Male,34,68.70744,128.7122,정상
Male,30,65.012,118.4233,정상
Female,25,66.05857,125.3879,정상
Male,26,71.16403,149.2676,정상
Female,18,67.55274,107.3484,저체중
Female,30,68.83455,133.6992,정상
Female,30,68.11811,124.8508,정상
Female,23,67.90528,112.7028,저체중
Female,20,67.64085,127.8407,정상
Male,28,69.78282,134.1615,정상
Female,29,67.99889,138.6031,정상
Female,21,69.41465,126.044,저체중
Female,31,70.42989,129.5856,저체중
Female,30,67.67519,134.1054,정상
Male,34,67.88036,106.1251,저체중
Female,32,68.06905,127.0561,정상
Male,20,66.99435,121.9241,정상
Male,23,71.57689,150.7365,정상
Male,23,64.36564,116.0061,정상
Male,26,67.93011,125.4748,정상
Male,26,69.91863,131.6099,정상
Male,31,69.93864,129.0696,정상
Male,20,66.79766,129.1117,정상
Female,34,70.11119,148.1624,정상
Male,31,68.94814,105.388,저체중
Female,22,68.02886,110.5447,저체중
Male,21,69.36148,118.6402,저체중
Female,29,68.44886,122.8151,저체중
Female,34,65.70282,124.887,정상
Male,29,69.55674,135.7695,정상
Male,30,65.84635,116.4563,정상
Male,20,68.79983,125.3617,정상
Male,21,69.03835,133.122,정상
Male,29,67.36352,138.3328,정상
Male,30,70.35788,124.4972,저체중
Male,33,69.88828,136.7205,정상
Male,26,65.15319,115.0153,정상
Female,21,69.40907,132.6366,정상
Male,23,68.50874,143.1323,정상
Female,28,65.71552,134.7422,정상
Male,32,63.98308,122.6246,정상
Female,35,70.07685,153.5634,정상
Female,23,68.42542,126.289,정상
Male,23,68.23665,134.7206,정상
Male,25,67.82856,134.5987,정상
Male,35,66.31277,118.3945,정상
Male,32,69.75128,121.2997,저체중
Female,23,65.70901,132.2844,정상
Male,24,66.88227,139.0617,정상
Female,29,67.2791,110.698,저체중
Male,19,70.63357,154.1073,정상
Female,22,69.9377,124.1592,저체중
Female,29,65.87671,134.5173,정상
Female,30,72.44694,138.2622,정상
Male,35,70.07052,149.0801,정상
Male,35,67.68486,127.0075,정상
Female,24,66.1151,117.8222,정상
Male,27,69.94355,148.9096,정상
Female,33,68.24317,128.2151,정상
Female,29,68.80144,129.6944,정상
Female,23,66.61818,125.5674,정상
Male,24,70.18701,128.7947,저체중
Male,35,65.58971,124.187,정상
Male,33,68.69566,151.4167,정상
Male,22,64.88639,106.9803,저체중
Male,21,69.81993,145.6221,정상
Male,24,66.33962,121.5926,정상
Male,33,70.4434,130.9386,정상
Male,18,69.99163,135.6203,정상
Female,34,70.13617,123.9315,저체중
Female,18,67.1793,131.9955,정상
Male,19,68.2034,117.484,저체중
Female,22,67.76121,129.6577,정상
Male,33,64.79753,122.3706,정상
Male,29,66.47871,114.5867,저체중
Male,33,66.98337,116.5401,저체중
Male,20,65.69991,139.4307,정상
Female,19,66.82705,123.4822,정상
Male,32,66.35141,132.5492,정상
Female,25,70.13491,143.4013,정상
Female,20,70.11565,132.9429,정상
Male,34,64.56145,98.8972,저체중
Male,21,68.15724,122.4342,정상
Female,21,67.1475,104.6767,저체중
Male,35,70.88927,142.7847,정상
Female,22,68.16218,130.9283,정상
Male,33,71.19657,143.827,정상
Male,28,67.92444,142.2832,정상
Female,34,65.30204,107.9441,저체중
Male,28,66.40756,105.6891,저체중
Male,18,71.30647,125.4007,저체중
Female,18,69.05997,106.4195,저체중
Male,30,65.95442,118.5371,정상
Female,32,69.63776,136.7836,정상
Male,26,71.10495,145.9328,정상
Female,29,66.21851,129.637,정상
Female,21,66.13469,108.4955,저체중
Female,32,67.7851,121.2537,정상
Female,25,66.67737,135.7399,정상
Male,24,69.99408,137.5026,정상
Female,25,71.1441,124.0052,저체중
Male,27,68.63927,128.8613,정상
Male,22,69.08548,133.6811,정상
Female,22,67.97389,106.5185,저체중
Female,21,65.94809,113.0398,저체중
Male,18,66.02102,125.9639,정상
Female,27,71.23576,140.2945,정상
Male,23,67.52674,143.229,정상
Female,28,71.06935,145.8063,정상
Male,26,68.27178,128.1697,정상
Male,23,67.31932,134.1839,정상
Female,31,68.98848,140.2166,정상
Female,18,68.404,146.3453,정상
Female,32,67.092,132.0784,정상
Male,27,66.76866,122.13,정상
Male,27,65.64636,131.4693,정상
Female,27,65.34105,129.5167,정상
Male,24,68.18299,125.7451,정상
Female,23,70.65924,153.1384,정상
Female,18,65.94401,124.5559,정상
Male,35,69.62792,134.8225,정상
Male,24,68.29965,115.3877,저체중
Male,26,70.06075,117.9618,저체중
Female,35,68.43602,124.5647,정상
Female,31,69.27012,134.4043,정상
Male,30,67.70511,129.3092,정상
Male,24,70.89315,133.1423,정상
Male,29,70.54313,147.3609,정상
Male,18,71.58086,155.0132,정상
Male,34,68.42301,126.2905,정상
Male,29,69.35781,134.4605,정상
Male,24,70.445,134.0296,정상
Female,27,67.38153,128.9248,정상
Male,21,67.50767,123.0543,정상
Male,30,68.52054,112.1788,저체중
Male,18,66.80858,111.7443,저체중
Female,34,72.38532,148.4615,정상
Male,24,68.51642,136.7459,정상
Male,20,70.79791,133.2068,정상
Female,26,66.21905,116.8855,정상
Female,29,68.31167,124.8542,정상
Male,31,67.1715,121.5809,정상
Male,24,67.7714,123.197,정상
Female,35,67.47328,137.1255,정상
Male,30,67.77463,121.4941,정상
Female,22,69.20099,150.9398,정상
Male,22,70.04297,142.3009,정상
Male,21,70.56979,134.7527,정상
Female,24,66.45379,133.5585,정상
Female,35,67.68132,136.0895,정상
Female,27,65.75638,95.20216,저체중
Male,30,69.3549,119.7404,저체중
Male,22,70.5902,152.9146,정상
Female,27,67.27626,140.1991,정상
Female,35,68.48853,145.2503,정상
Female,29,67.02188,119.4855,정상
Female,22,65.77613,123.512,정상
Male,30,65.96579,110.6754,저체중
Male,26,68.18868,111.4951,저체중
Male,31,72.08595,139.4849,정상
Male,22,66.85358,133.088,정상
Female,24,69.10929,133.5196,정상
Male,20,64.5909,112.7698,정상
Female,24,67.03849,124.7975,정상
Female,34,68.99156,123.4224,저체중
Female,27,70.59872,142.0921,정상
Female,35,70.08988,116.2814,저체중
Male,25,65.6844,131.1256,정상
Male,33,67.0982,131.2493,정상
Male,22,66.03932,127.2422,정상
Female,18,69.26423,122.4523,저체중
Female,24,66.61351,115.2431,저체중
Female,25,68.11738,126.9532,정상
Female,22,69.73059,143.4439,정상
Female,23,64.02042,125.377,정상
Male,31,66.23753,109.0095,저체중
Male,30,72.46761,139.2411,정상
Male,26,66.21938,102.182,저체중
Female,32,71.2978,144.3898,정상
Male,31,63.1255,83.08527,저체중
Male,27,70.93034,145.3938,정상
Male,19,68.25489,134.9267,정상
Male,28,64.78014,134.678,정상
Female,29,65.42982,111.4963,저체중
Female,22,68.91361,119.7951,저체중
Female,29,64.96937,95.70426,저체중
Male,25,66.15237,117.159,정상
Female,20,65.98386,127.2356,정상
Female,33,69.2435,144.9205,정상
Female,27,68.31982,122.8464,정상
Female,24,70.11607,134.19,정상
Male,20,68.63521,124.9776,정상
Female,34,67.74289,135.8441,정상
Male,18,64.58641,120.8222,정상
Male,23,64.66165,125.0174,정상
Male,19,65.90771,133.5474,정상
Female,23,65.77649,124.5583,정상
Female,24,67.1506,135.9691,정상
Male,21,72.24339,143.5738,정상
Female,18,68.73199,130.5725,정상
Male,26,67.57019,127.192,정상
Male,29,70.36234,141.2372,정상
Female,26,63.62233,107.4236,정상
Female,25,66.20711,122.3234,정상
Male,32,66.22114,111.6055,저체중
Male,31,70.0722,137.8915,정상
Male,31,69.6563,142.8742,정상
Female,26,66.25043,114.4349,저체중
Female,34,68.0704,128.2736,정상
Female,22,67.14808,134.5725,정상
Female,30,68.76609,140.1034,정상
Male,26,68.12075,121.977,저체중
Male,29,65.72987,111.4248,저체중
Female,32,69.17439,135.0756,정상
Male,30,70.36351,132.9826,정상
Male,24,70.78557,117.7566,저체중
Female,22,70.88083,134.9877,정상
Female,20,66.62148,151.6121,정상
Male,27,69.9829,128.9287,정상
Female,21,66.92866,120.1575,정상
Male,18,71.45806,125.6007,저체중
