연월일시,pm10,pm2.5,오존,이산화질소,일산화탄소,아황산가스
2022-02-27:13,44,15,0.043,0.013,0.3,0.004
2022-02-27:12,45,20,0.039,0.017,0.4,0.004
2022-02-27:11,53,31,0.031,0.021,0.5,0.003
2022-02-27:10,54,34,0.024,0.027,0.5,0.004
2022-02-27:09,45,29,0.016,0.033,0.6,0.003
2022-02-27:08,50,33,0.017,0.03,0.6,0.003
2022-02-27:07,55,37,0.024,0.024,0.5,0.003
2022-02-27:06,55,41,0.026,0.022,0.6,0.002
2022-02-27:05,58,45,0.033,0.017,0.5,0.003
2022-02-27:04,58,44,0.034,0.016,0.5,0.003
2022-02-27:03,57,46,0.035,0.017,0.5,0.003
2022-02-27:02,59,45,0.037,0.015,0.6,0.002
2022-02-27:01,63,50,0.036,0.015,0.6,0.002
2022-02-26:24,66,58,0.037,0.015,0.6,0.003
2022-02-26:23,66,56,0.041,0.014,0.6,0.003
2022-02-26:22,84,68,0.045,0.013,0.6,0.002
2022-02-26:21,80,57,0.043,0.017,0.6,0.003
2022-02-26:20,55,35,0.051,0.018,0.6,0.002
2022-02-26:19,46,29,0.053,0.018,0.5,0.003
2022-02-26:18,44,24,0.055,0.016,0.4,0.003
2022-02-26:17,46,22,0.055,0.015,0.4,0.003
2022-02-26:16,48,25,0.053,0.016,0.4,0.003
2022-02-26:15,53,30,0.053,0.017,0.4,0.003
2022-02-26:14,53,30,0.053,0.017,0.4,0.004
2022-02-26:13,56,35,0.049,0.019,0.5,0.004
2022-02-26:12,57,40,0.047,0.019,0.5,0.003
2022-02-26:11,60,41,0.046,0.02,0.5,0.003
2022-02-26:10,71,55,0.044,0.021,0.5,0.003
2022-02-26:09,75,61,0.036,0.027,0.6,0.003
2022-02-26:08,68,54,0.043,0.021,0.5,0.003
2022-02-26:07,71,53,0.05,0.016,0.5,0.003
2022-02-26:06,75,57,0.055,0.013,0.5,0.003
2022-02-26:05,75,59,0.05,0.016,0.6,0.004
2022-02-26:04,82,63,0.05,0.015,0.6,0.003
2022-02-26:03,86,62,0.052,0.016,0.6,0.003
2022-02-26:02,86,62,0.054,0.015,0.6,0.003
2022-02-26:01,89,62,0.053,0.017,0.6,0.003
2022-02-25:24,89,65,0.051,0.019,0.5,0.003
2022-02-25:23,87,66,0.05,0.022,0.6,0.003
2022-02-25:22,91,66,0.048,0.025,0.6,0.003
2022-02-25:21,94,68,0.047,0.027,0.6,0.003
2022-02-25:20,95,70,0.043,0.029,0.7,0.003
2022-02-25:19,94,72,0.042,0.031,0.7,0.003
2022-02-25:18,96,74,0.044,0.031,0.6,0.003
2022-02-25:17,97,76,0.048,0.026,0.6,0.004
2022-02-25:16,95,68,0.052,0.021,0.6,0.004
2022-02-25:15,97,69,0.045,0.025,0.6,0.004
2022-02-25:14,95,68,0.046,0.025,0.6,0.004
2022-02-25:13,80,62,0.025,0.042,0.7,0.005
2022-02-25:12,71,57,0.012,0.051,0.8,0.005
2022-02-25:11,69,56,0.007,0.059,1,0.004
2022-02-25:10,58,49,0.005,0.057,1,0.004
2022-02-25:09,50,42,0.003,0.059,0.9,0.003
2022-02-25:08,46,39,0.002,0.057,0.9,0.003
2022-02-25:07,45,38,0.002,0.059,0.9,0.003
2022-02-25:06,43,36,0.002,0.056,0.9,0.003
2022-02-25:05,43,36,0.002,0.052,0.9,0.003
2022-02-25:04,42,33,0.002,0.055,0.8,0.003
2022-02-25:03,41,33,0.002,0.059,0.9,0.003
2022-02-25:02,36,29,0.002,0.061,0.9,0.003
2022-02-25:01,36,29,0.002,0.061,0.8,0.002
2022-02-24:24,33,26,0.002,0.062,0.9,0.003
2022-02-24:23,31,24,0.002,0.061,0.8,0.003
2022-02-24:22,31,23,0.005,0.055,0.8,0.003
2022-02-24:21,31,24,0.012,0.046,0.7,0.003
2022-02-24:20,30,23,0.02,0.04,0.6,0.003
2022-02-24:19,33,21,0.032,0.025,0.5,0.003
2022-02-24:18,33,22,0.041,0.017,0.4,0.003
2022-02-24:17,32,19,0.043,0.014,0.4,0.004
2022-02-24:16,40,22,0.044,0.013,0.4,0.003
2022-02-24:15,41,27,0.042,0.015,0.4,0.004
2022-02-24:14,35,23,0.042,0.015,0.4,0.004
2022-02-24:13,34,21,0.038,0.015,0.5,0.003
2022-02-24:12,27,17,0.039,0.014,0.4,0.004
2022-02-24:11,24,17,0.033,0.019,0.5,0.003
2022-02-24:10,22,12,0.032,0.018,0.5,0.003
2022-02-24:09,27,15,0.017,0.034,0.6,0.003
2022-02-24:08,22,15,0.01,0.041,0.6,0.003
2022-02-24:07,23,15,0.021,0.028,0.5,0.003
2022-02-24:06,21,14,0.026,0.022,0.4,0.003
2022-02-24:05,23,12,0.034,0.014,0.4,0.003
2022-02-24:04,23,14,0.035,0.011,0.4,0.003
2022-02-24:03,24,13,0.036,0.01,0.4,0.003
2022-02-24:02,25,14,0.031,0.013,0.4,0.003
2022-02-24:01,25,13,0.032,0.012,0.4,0.003
2022-02-23:24,22,12,0.032,0.013,0.4,0.003
2022-02-23:23,22,9,0.033,0.012,0.4,0.003
2022-02-23:22,20,10,0.034,0.013,0.4,0.003
2022-02-23:21,25,12,0.035,0.012,0.4,0.002
2022-02-23:20,27,13,0.032,0.016,0.4,0.002
2022-02-23:19,29,16,0.035,0.014,0.4,0.003
2022-02-23:18,30,19,0.039,0.013,0.4,0.003
2022-02-23:17,30,14,0.041,0.01,0.4,0.003
2022-02-23:16,26,15,0.041,0.009,0.4,0.003
2022-02-23:15,28,18,0.04,0.011,0.4,0.003
2022-02-23:14,26,15,0.038,0.012,0.4,0.003
2022-02-23:13,27,16,0.035,0.012,0.4,0.003
2022-02-23:12,27,16,0.032,0.015,0.4,0.003
2022-02-23:11,30,17,0.028,0.018,0.4,0.003
2022-02-23:10,23,14,0.026,0.018,0.5,0.004
2022-02-23:09,25,14,0.021,0.022,0.5,0.003
2022-02-23:08,27,17,0.019,0.021,0.5,0.003
2022-02-23:07,23,16,0.023,0.019,0.5,0.003
2022-02-23:06,23,15,0.027,0.016,0.5,0.003
2022-02-23:05,25,16,0.03,0.012,0.5,0.003
2022-02-23:04,22,13,0.031,0.013,0.4,0.003
2022-02-23:03,26,15,0.031,0.013,0.4,0.003
2022-02-23:02,24,13,0.032,0.012,0.4,0.003
2022-02-23:01,31,14,0.032,0.012,0.4,0.003
2022-02-22:24,27,13,0.036,0.01,0.4,0.003
2022-02-22:23,29,14,0.035,0.011,0.4,0.003
2022-02-22:22,26,12,0.035,0.01,0.4,0.003
2022-02-22:21,28,14,0.037,0.011,0.4,0.003
2022-02-22:20,33,15,0.035,0.012,0.4,0.003
2022-02-22:19,36,17,0.034,0.015,0.4,0.003
2022-02-22:18,35,19,0.035,0.015,0.4,0.002
2022-02-22:17,37,21,0.038,0.012,0.4,0.003
2022-02-22:16,36,19,0.039,0.012,0.4,0.003
2022-02-22:15,37,19,0.039,0.011,0.4,0.003
2022-02-22:14,35,19,0.037,0.01,0.4,0.003
2022-02-22:13,32,16,0.037,0.011,0.4,0.003
2022-02-22:12,27,13,0.035,0.012,0.4,0.003
2022-02-22:11,25,13,0.032,0.015,0.4,0.004
2022-02-22:10,24,10,0.033,0.013,0.4,0.003
2022-02-22:09,26,15,0.027,0.018,0.4,0.003
2022-02-22:08,26,16,0.023,0.021,0.4,0.003
2022-02-22:07,26,17,0.026,0.016,0.4,0.002
2022-02-22:06,26,19,0.03,0.012,0.4,0.003
2022-02-22:05,29,20,0.033,0.01,0.4,0.003
2022-02-22:04,26,21,0.034,0.01,0.4,0.003
2022-02-22:03,29,20,0.036,0.01,0.4,0.003
2022-02-22:02,28,22,0.034,0.012,0.4,0.003
2022-02-22:01,29,22,0.035,0.012,0.5,0.002
2022-02-21:24,26,20,0.037,0.011,0.4,0.003
2022-02-21:23,29,21,0.037,0.01,0.5,0.003
2022-02-21:22,25,18,0.035,0.012,0.5,0.003
2022-02-21:21,32,18,0.037,0.012,0.4,0.003
2022-02-21:20,29,19,0.033,0.016,0.4,0.003
2022-02-21:19,33,20,0.033,0.017,0.5,0.003
2022-02-21:18,33,18,0.038,0.015,0.4,0.003
2022-02-21:17,35,17,0.038,0.014,0.4,0.003
2022-02-21:16,39,17,0.038,0.013,0.4,0.003
2022-02-21:15,40,19,0.038,0.013,0.4,0.003
2022-02-21:14,30,18,0.031,0.02,0.5,0.003
2022-02-21:13,33,22,0.023,0.027,0.6,0.003
2022-02-21:12,31,18,0.022,0.029,0.6,0.004
2022-02-21:11,30,20,0.017,0.033,0.6,0.004
2022-02-21:10,26,16,0.013,0.039,0.6,0.003
2022-02-21:09,26,18,0.004,0.056,0.8,0.004
2022-02-21:08,22,16,0.002,0.055,0.7,0.003
2022-02-21:07,21,15,0.003,0.048,0.6,0.003
2022-02-21:06,19,13,0.018,0.03,0.5,0.002
2022-02-21:05,21,14,0.022,0.025,0.4,0.003
2022-02-21:04,18,12,0.029,0.017,0.4,0.002
2022-02-21:03,18,14,0.036,0.01,0.4,0.003
2022-02-21:02,20,14,0.034,0.011,0.4,0.003
2022-02-21:01,23,14,0.032,0.014,0.4,0.003
2022-02-20:24,22,14,0.032,0.014,0.4,0.003
2022-02-20:23,22,14,0.033,0.013,0.4,0.003
2022-02-20:22,21,12,0.037,0.011,0.4,0.003
2022-02-20:21,23,11,0.039,0.011,0.4,0.003
2022-02-20:20,23,12,0.038,0.012,0.4,0.003
2022-02-20:19,29,16,0.038,0.012,0.4,0.003
2022-02-20:18,32,16,0.04,0.01,0.4,0.003
2022-02-20:17,35,13,0.043,0.007,0.3,0.003
2022-02-20:16,32,15,0.044,0.006,0.4,0.003
2022-02-20:15,28,16,0.042,0.006,0.3,0.002
2022-02-20:14,25,12,0.041,0.005,0.3,0.003
2022-02-20:13,27,13,0.04,0.006,0.3,0.003
2022-02-20:12,25,16,0.039,0.006,0.3,0.002
2022-02-20:11,32,20,0.037,0.006,0.4,0.003
2022-02-20:10,29,20,0.034,0.008,0.4,0.003
2022-02-20:09,36,22,0.031,0.009,0.4,0.003
2022-02-20:08,35,24,0.031,0.01,0.4,0.003
2022-02-20:07,39,21,0.031,0.008,0.4,0.003
2022-02-20:06,35,21,0.032,0.007,0.4,0.003
2022-02-20:05,42,20,0.033,0.007,0.4,0.003
2022-02-20:04,49,18,0.035,0.006,0.4,0.003
2022-02-20:03,35,16,0.035,0.006,0.4,0.002
2022-02-20:02,26,17,0.035,0.008,0.4,0.003
2022-02-20:01,28,17,0.033,0.011,0.4,0.003
2022-02-19:24,27,15,0.034,0.01,0.4,0.003
2022-02-19:23,26,13,0.036,0.009,0.4,0.002
2022-02-19:22,30,14,0.038,0.007,0.3,0.003
2022-02-19:21,46,24,0.037,0.009,0.4,0.002
2022-02-19:20,38,25,0.035,0.013,0.5,0.003
2022-02-19:19,40,29,0.035,0.015,0.5,0.003
2022-02-19:18,44,32,0.034,0.017,0.5,0.003
2022-02-19:17,44,34,0.039,0.013,0.5,0.003
2022-02-19:16,36,27,0.041,0.011,0.4,0.004
2022-02-19:15,38,30,0.041,0.011,0.4,0.003
2022-02-19:14,38,29,0.035,0.014,0.4,0.003
2022-02-19:13,36,26,0.03,0.019,0.5,0.003
2022-02-19:12,38,28,0.023,0.024,0.5,0.003
2022-02-19:11,41,31,0.022,0.026,0.5,0.003
2022-02-19:10,37,30,0.017,0.031,0.6,0.003
2022-02-19:09,43,37,0.014,0.034,0.6,0.003
2022-02-19:08,45,39,0.012,0.032,0.6,0.003
2022-02-19:07,47,41,0.006,0.04,0.6,0.003
2022-02-19:06,43,37,0.018,0.026,0.6,0.003
2022-02-19:05,46,38,0.015,0.028,0.6,0.003
2022-02-19:04,42,36,0.009,0.036,0.6,0.003
2022-02-19:03,42,37,0.013,0.032,0.6,0.003
2022-02-19:02,42,35,0.018,0.024,0.6,0.003
2022-02-19:01,44,42,0.01,0.035,0.6,0.004
2022-02-18:24,46,38,0.003,0.049,0.7,0.003
2022-02-18:23,47,35,0.002,0.054,0.8,0.004
2022-02-18:22,42,31,0.003,0.054,0.7,0.004
2022-02-18:21,46,38,0.004,0.056,0.7,0.004
2022-02-18:20,54,38,0.003,0.058,0.6,0.004
2022-02-18:19,70,47,0.003,0.062,0.7,0.004
2022-02-18:18,,,,,,
2022-02-18:17,,,,,,
2022-02-18:16,,,,,,
2022-02-18:15,43,32,0.019,0.037,0.6,0.003
2022-02-18:14,42,30,0.019,0.036,0.6,0.003
2022-02-18:13,44,31,0.019,0.033,0.6,0.004
2022-02-18:12,42,32,0.016,0.036,0.6,0.004
2022-02-18:11,40,33,0.014,0.036,0.7,0.004
2022-02-18:10,38,29,0.009,0.041,0.7,0.004
2022-02-18:09,39,34,0.005,0.048,0.8,0.004
2022-02-18:08,39,34,0.002,0.051,1,0.003
2022-02-18:07,37,35,0.002,0.05,0.9,0.004
2022-02-18:06,36,32,0.002,0.048,0.8,0.003
2022-02-18:05,37,31,0.002,0.045,0.8,0.003
2022-02-18:04,34,29,0.004,0.046,0.7,0.004
2022-02-18:03,37,29,0.002,0.052,0.8,0.003
2022-02-18:02,33,27,0.002,0.052,0.7,0.003
2022-02-18:01,33,29,0.01,0.043,0.6,0.003
2022-02-17:24,31,25,0.007,0.045,0.6,0.003
2022-02-17:23,33,27,0.018,0.031,0.6,0.003
2022-02-17:22,33,27,0.023,0.025,0.5,0.003
2022-02-17:21,37,30,0.02,0.03,0.6,0.004
2022-02-17:20,36,28,0.018,0.031,0.6,0.003
2022-02-17:19,38,31,0.022,0.028,0.5,0.004
2022-02-17:18,41,32,0.024,0.026,0.5,0.003
2022-02-17:17,44,30,0.027,0.025,0.5,0.003
2022-02-17:16,32,25,0.029,0.02,0.5,0.003
2022-02-17:15,35,27,0.031,0.017,0.5,0.003
2022-02-17:14,34,25,0.03,0.016,0.5,0.003
2022-02-17:13,28,24,0.031,0.013,0.4,0.004
2022-02-17:12,30,22,0.029,0.014,0.4,0.003
2022-02-17:11,26,20,0.028,0.013,0.4,0.004
2022-02-17:10,23,16,0.026,0.014,0.4,0.003
2022-02-17:09,27,20,0.024,0.015,0.4,0.003
2022-02-17:08,24,18,0.024,0.015,0.4,0.003
2022-02-17:07,24,20,0.025,0.015,0.4,0.003
2022-02-17:06,22,15,0.025,0.015,0.4,0.003
2022-02-17:05,22,19,0.03,0.011,0.4,0.003
2022-02-17:04,24,17,0.032,0.009,0.4,0.003
2022-02-17:03,25,20,0.032,0.009,0.4,0.003
2022-02-17:02,23,17,0.034,0.011,0.4,0.003
2022-02-17:01,23,17,0.033,0.01,0.4,0.003
2022-02-16:24,22,16,0.033,0.011,0.4,0.003
2022-02-16:23,22,16,0.033,0.012,0.4,0.003
2022-02-16:22,22,13,0.034,0.01,0.4,0.003
2022-02-16:21,21,11,0.035,0.011,0.4,0.003
2022-02-16:20,22,14,0.033,0.012,0.4,0.003
2022-02-16:19,25,14,0.032,0.016,0.4,0.003
2022-02-16:18,27,14,0.034,0.013,0.4,0.003
2022-02-16:17,38,22,0.036,0.012,0.4,0.003
2022-02-16:16,35,24,0.037,0.012,0.4,0.003
2022-02-16:15,31,22,0.038,0.01,0.4,0.003
2022-02-16:14,31,24,0.037,0.01,0.4,0.003
2022-02-16:13,31,26,0.035,0.011,0.4,0.003
2022-02-16:12,31,24,0.033,0.013,0.5,0.003
2022-02-16:11,33,27,0.031,0.013,0.5,0.003
2022-02-16:10,31,25,0.027,0.015,0.5,0.003
2022-02-16:09,31,27,0.026,0.015,0.5,0.003
2022-02-16:08,32,28,0.025,0.017,0.5,0.003
2022-02-16:07,31,26,0.024,0.018,0.5,0.003
2022-02-16:06,29,25,0.029,0.013,0.5,0.003
2022-02-16:05,25,25,0.031,0.012,0.5,0.002
2022-02-16:04,25,22,0.035,0.01,0.4,0.003
2022-02-16:03,26,22,0.035,0.012,0.4,0.003
2022-02-16:02,24,21,0.036,0.011,0.4,0.003
2022-02-16:01,29,22,0.037,0.011,0.4,0.002
2022-02-15:24,24,19,0.037,0.01,0.4,0.003
2022-02-15:23,24,15,0.035,0.012,0.4,0.003
2022-02-15:22,18,12,0.034,0.013,0.4,0.003
2022-02-15:21,22,11,0.034,0.015,0.4,0.003
2022-02-15:20,22,14,0.034,0.014,0.4,0.003
2022-02-15:19,25,14,0.034,0.015,0.4,0.003
2022-02-15:18,28,16,0.032,0.018,0.4,0.003
2022-02-15:17,31,18,0.032,0.018,0.4,0.003
2022-02-15:16,33,22,0.035,0.014,0.4,0.003
2022-02-15:15,35,24,0.036,0.014,0.4,0.003
2022-02-15:14,38,27,0.035,0.015,0.5,0.003
2022-02-15:13,41,27,0.033,0.015,0.5,0.003
2022-02-15:12,40,28,0.03,0.017,0.5,0.003
2022-02-15:11,43,29,0.028,0.017,0.4,0.003
2022-02-15:10,40,28,0.026,0.019,0.5,0.003
2022-02-15:09,41,31,0.026,0.018,0.5,0.002
2022-02-15:08,37,29,0.026,0.018,0.5,0.002
2022-02-15:07,41,34,0.028,0.017,0.4,0.003
2022-02-15:06,42,36,0.032,0.012,0.4,0.003
2022-02-15:05,47,41,0.036,0.01,0.4,0.002
2022-02-15:04,45,40,0.038,0.01,0.5,0.002
2022-02-15:03,44,40,0.04,0.009,0.5,0.003
2022-02-15:02,44,40,0.041,0.01,0.5,0.003
2022-02-15:01,56,51,0.041,0.009,0.5,0.003
2022-02-14:24,54,48,0.037,0.012,0.6,0.003
2022-02-14:23,56,49,0.036,0.012,0.6,0.002
2022-02-14:22,53,45,0.033,0.016,0.6,0.003
2022-02-14:21,58,49,0.034,0.016,0.6,0.003
2022-02-14:20,46,42,0.032,0.019,0.7,0.003
2022-02-14:19,39,36,0.033,0.021,0.7,0.003
2022-02-14:18,60,51,0.035,0.026,0.7,0.003
2022-02-14:17,73,52,0.039,0.026,0.7,0.003
2022-02-14:16,89,64,0.036,0.028,0.6,0.003
2022-02-14:15,93,73,0.048,0.026,0.7,0.004
2022-02-14:14,68,52,0.034,0.036,0.7,0.004
2022-02-14:13,43,33,0.017,0.046,0.7,0.004
2022-02-14:12,34,24,0.01,0.048,0.8,0.004
2022-02-14:11,27,18,0.007,0.05,0.8,0.004
2022-02-14:10,19,14,0.007,0.046,0.7,0.003
2022-02-14:09,22,18,0.004,0.051,0.8,0.004
2022-02-14:08,20,18,0.003,0.053,0.8,0.003
2022-02-14:07,18,16,0.003,0.049,0.7,0.003
2022-02-14:06,15,13,0.007,0.042,0.6,0.003
2022-02-14:05,20,16,0.009,0.038,0.6,0.003
2022-02-14:04,18,14,0.017,0.03,0.6,0.003
2022-02-14:03,20,16,0.021,0.027,0.6,0.003
2022-02-14:02,23,18,0.021,0.029,0.6,0.004
2022-02-14:01,26,17,0.023,0.029,0.5,0.003
2022-02-13:24,28,21,0.024,0.029,0.5,0.003
2022-02-13:23,33,26,0.031,0.022,0.5,0.004
2022-02-13:22,38,29,0.028,0.03,0.5,0.003
2022-02-13:21,43,34,0.034,0.026,0.5,0.003
2022-02-13:20,46,36,0.034,0.028,0.5,0.004
2022-02-13:19,54,43,0.038,0.023,0.5,0.004
2022-02-13:18,54,42,0.046,0.018,0.5,0.004
2022-02-13:17,52,38,0.051,0.016,0.5,0.004
2022-02-13:16,63,49,0.045,0.018,0.5,0.004
2022-02-13:15,57,42,0.035,0.027,0.6,0.004
2022-02-13:14,51,38,0.043,0.019,0.5,0.004
2022-02-13:13,57,44,0.044,0.019,0.5,0.004
2022-02-13:12,64,51,0.036,0.024,0.6,0.004
2022-02-13:11,69,53,0.027,0.029,0.7,0.004
2022-02-13:10,63,48,0.015,0.037,0.9,0.004
2022-02-13:09,59,48,0.008,0.044,0.8,0.004
2022-02-13:08,57,46,0.009,0.043,0.8,0.004
2022-02-13:07,55,46,0.005,0.047,0.8,0.004
2022-02-13:06,53,43,0.006,0.045,0.8,0.004
2022-02-13:05,54,43,0.006,0.047,0.8,0.003
2022-02-13:04,51,41,0.006,0.048,0.8,0.003
2022-02-13:03,53,40,0.005,0.051,0.8,0.004
2022-02-13:02,52,38,0.003,0.056,0.9,0.004
2022-02-13:01,51,36,0.003,0.058,0.9,0.004
2022-02-12:24,49,36,0.004,0.055,0.9,0.004
2022-02-12:23,52,38,0.003,0.058,1.1,0.004
2022-02-12:22,49,36,0.007,0.052,1,0.004
2022-02-12:21,54,39,0.004,0.058,0.9,0.004
2022-02-12:20,48,35,0.013,0.049,0.9,0.004
2022-02-12:19,42,33,0.034,0.029,0.6,0.003
2022-02-12:18,51,39,0.045,0.018,0.5,0.004
2022-02-12:17,56,44,0.048,0.017,0.5,0.004
2022-02-12:16,55,40,0.048,0.017,0.5,0.004
2022-02-12:15,67,54,0.048,0.017,0.5,0.004
2022-02-12:14,88,74,0.037,0.031,0.7,0.004
2022-02-12:13,96,81,0.035,0.035,0.8,0.004
2022-02-12:12,97,81,0.032,0.035,0.8,0.004
2022-02-12:11,108,86,0.03,0.034,0.9,0.004
2022-02-12:10,108,91,0.025,0.04,0.9,0.004
2022-02-12:09,115,95,0.017,0.045,0.9,0.003
2022-02-12:08,110,93,0.013,0.05,0.9,0.003
2022-02-12:07,112,97,0.016,0.046,0.9,0.003
2022-02-12:06,118,103,0.011,0.049,0.9,0.003
2022-02-12:05,118,107,0.026,0.033,0.9,0.003
2022-02-12:04,105,97,0.025,0.038,0.9,0.004
2022-02-12:03,112,97,0.024,0.043,0.9,0.004
2022-02-12:02,110,97,0.032,0.036,0.9,0.003
2022-02-12:01,103,94,0.02,0.048,0.9,0.003
2022-02-11:24,99,84,0.022,0.048,0.8,0.004
2022-02-11:23,106,95,0.021,0.047,0.8,0.004
2022-02-11:22,91,81,0.024,0.046,0.9,0.003
2022-02-11:21,95,77,0.043,0.03,0.8,0.005
2022-02-11:20,85,72,0.033,0.043,0.8,0.004
2022-02-11:19,95,81,0.038,0.041,0.8,0.004
2022-02-11:18,97,79,0.046,0.035,0.7,0.005
2022-02-11:17,95,73,0.045,0.039,0.7,0.005
2022-02-11:16,79,62,0.05,0.029,0.6,0.005
2022-02-11:15,92,75,0.046,0.031,0.7,0.005
2022-02-11:14,94,76,0.04,0.038,0.7,0.005
2022-02-11:13,102,83,0.019,0.062,1,0.006
2022-02-11:12,94,77,0.01,0.068,1.2,0.005
2022-02-11:11,88,69,0.008,0.064,1.2,0.005
2022-02-11:10,73,59,0.007,0.058,1.1,0.004
2022-02-11:09,70,62,0.004,0.062,1.1,0.004
2022-02-11:08,63,54,0.003,0.066,1.2,0.004
2022-02-11:07,63,53,0.002,0.064,1.1,0.004
2022-02-11:06,59,50,0.002,0.064,1.2,0.003
2022-02-11:05,61,52,0.002,0.065,1.1,0.004
2022-02-11:04,63,54,0.002,0.063,1.1,0.003
2022-02-11:03,71,60,0.002,0.063,1,0.003
2022-02-11:02,66,56,0.003,0.058,1,0.003
2022-02-11:01,61,47,0.011,0.048,0.8,0.003
2022-02-10:24,55,43,0.018,0.04,0.8,0.003
2022-02-10:23,53,43,0.022,0.038,0.7,0.003
2022-02-10:22,51,39,0.025,0.036,0.7,0.003
2022-02-10:21,55,41,0.023,0.038,0.7,0.003
2022-02-10:20,52,38,0.025,0.039,0.8,0.004
2022-02-10:19,48,36,0.034,0.029,0.6,0.004
2022-02-10:18,51,36,0.042,0.023,0.6,0.004
2022-02-10:17,53,30,0.048,0.016,0.6,0.004
2022-02-10:16,40,28,0.048,0.015,0.5,0.005
2022-02-10:15,33,29,0.047,0.014,0.5,0.004
2022-02-10:14,45,33,0.039,0.024,0.6,0.004
2022-02-10:13,49,36,0.037,0.026,0.6,0.004
2022-02-10:12,50,36,0.04,0.021,0.6,0.005
2022-02-10:11,54,47,0.019,0.045,0.9,0.005
2022-02-10:10,45,35,0.006,0.063,1.2,0.004
2022-02-10:09,47,35,0.004,0.059,1.2,0.004
2022-02-10:08,41,31,0.002,0.058,1.1,0.003
2022-02-10:07,36,29,0.003,0.051,0.9,0.003
2022-02-10:06,36,29,0.003,0.05,0.8,0.003
2022-02-10:05,37,29,0.015,0.035,0.7,0.003
2022-02-10:04,37,29,0.009,0.045,0.7,0.003
2022-02-10:03,36,30,0.003,0.053,0.8,0.003
2022-02-10:02,35,28,0.015,0.04,0.7,0.003
2022-02-10:01,36,30,0.015,0.04,0.7,0.003
2022-02-09:24,39,30,0.019,0.035,0.6,0.003
2022-02-09:23,39,28,0.027,0.027,0.5,0.003
2022-02-09:22,38,28,0.027,0.029,0.5,0.003
2022-02-09:21,42,29,0.026,0.033,0.6,0.003
2022-02-09:20,37,26,0.017,0.042,0.6,0.004
2022-02-09:19,41,30,0.009,0.051,0.6,0.004
2022-02-09:18,39,25,0.013,0.047,0.6,0.004
2022-02-09:17,37,24,0.019,0.041,0.6,0.004
2022-02-09:16,35,24,0.023,0.037,0.6,0.004
2022-02-09:15,28,23,0.027,0.033,0.6,0.004
2022-02-09:14,30,21,0.032,0.026,0.5,0.003
2022-02-09:13,45,32,0.024,0.034,0.6,0.004
2022-02-09:12,43,31,0.016,0.048,0.8,0.004
2022-02-09:11,44,32,0.011,0.046,0.8,0.004
2022-02-09:10,34,27,0.007,0.05,0.8,0.004
2022-02-09:09,35,26,0.004,0.053,0.9,0.003
2022-02-09:08,32,26,0.002,0.054,0.9,0.004
2022-02-09:07,29,26,0.002,0.054,0.9,0.004
2022-02-09:06,29,24,0.002,0.054,0.9,0.004
2022-02-09:05,33,24,0.002,0.054,0.8,0.003
2022-02-09:04,31,23,0.002,0.056,0.8,0.003
2022-02-09:03,30,23,0.002,0.057,0.9,0.003
2022-02-09:02,27,21,0.002,0.06,0.8,0.003
2022-02-09:01,26,20,0.002,0.06,0.9,0.003
2022-02-08:24,20,17,0.005,0.054,0.8,0.003
2022-02-08:23,22,18,0.029,0.024,0.5,0.002
