구분,급식_메뉴_이름,급식_메뉴_종류,배식량_단위g,잔반량_단위g,학생별_섭취율_정도,메뉴별_평균섭취율,종류별_평균섭취율,메뉴별_평균잔반율,종류별_평균잔반율
46,치킨케이준샐러드,반찬류,108,0,높음,51,59,59,59
47,오이피클,반찬류,52,52,낮음,54,59,59,59
48,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
49,스파게티,면류,168,168,낮음,67,67,67,67
50,치킨케이준샐러드,반찬류,132,120,낮음,51,59,59,59
51,오이피클,반찬류,52,52,낮음,54,59,59,59
52,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
53,스파게티,면류,154,112,보통,67,67,67,67
54,치킨케이준샐러드,반찬류,132,108,낮음,51,59,59,59
55,오이피클,반찬류,52,52,낮음,54,59,59,59
56,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
57,스파게티,면류,175,168,낮음,67,67,67,67
58,치킨케이준샐러드,반찬류,120,120,낮음,51,59,59,59
59,오이피클,반찬류,52,0,높음,54,59,59,59
60,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
61,스파게티,면류,168,49,보통,67,67,67,67
62,치킨케이준샐러드,반찬류,120,72,보통,51,59,59,59
63,오이피클,반찬류,78,52,보통,54,59,59,59
64,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
65,스파게티,면류,168,0,높음,67,67,67,67
66,치킨케이준샐러드,반찬류,96,0,높음,51,59,59,59
67,오이피클,반찬류,26,0,높음,54,59,59,59
68,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
69,스파게티,면류,168,42,높음,67,67,67,67
70,치킨케이준샐러드,반찬류,120,0,높음,51,59,59,59
71,오이피클,반찬류,52,0,높음,54,59,59,59
72,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
73,스파게티,면류,175,7,높음,67,67,67,67
74,치킨케이준샐러드,반찬류,120,12,높음,51,59,59,59
75,오이피클,반찬류,52,0,높음,54,59,59,59
76,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
77,스파게티,면류,168,0,높음,67,67,67,67
78,치킨케이준샐러드,반찬류,120,60,보통,51,59,59,59
79,오이피클,반찬류,52,0,높음,54,59,59,59
80,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
81,스파게티,면류,175,63,보통,67,67,67,67
82,치킨케이준샐러드,반찬류,120,36,보통,51,59,59,59
83,오이피클,반찬류,52,0,높음,54,59,59,59
84,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
85,스파게티,면류,175,35,높음,67,67,67,67
86,치킨케이준샐러드,반찬류,120,120,낮음,51,59,59,59
87,오이피클,반찬류,52,52,낮음,54,59,59,59
88,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
89,스파게티,면류,168,14,높음,67,67,67,67
90,치킨케이준샐러드,반찬류,120,0,높음,51,59,59,59
91,오이피클,반찬류,26,0,높음,54,59,59,59
92,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
93,스파게티,면류,161,35,높음,67,67,67,67
94,치킨케이준샐러드,반찬류,132,120,낮음,51,59,59,59
95,오이피클,반찬류,26,9,보통,54,59,59,59
96,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
97,스파게티,면류,175,14,높음,67,67,67,67
98,치킨케이준샐러드,반찬류,108,0,높음,51,59,59,59
99,오이피클,반찬류,52,0,높음,54,59,59,59
100,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
101,스파게티,면류,182,14,높음,67,67,67,67
102,치킨케이준샐러드,반찬류,108,72,보통,51,59,59,59
103,오이피클,반찬류,52,26,보통,54,59,59,59
104,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
105,스파게티,면류,161,28,높음,67,67,67,67
106,치킨케이준샐러드,반찬류,132,120,낮음,51,59,59,59
107,오이피클,반찬류,52,26,보통,54,59,59,59
108,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
109,스파게티,면류,161,84,보통,67,67,67,67
110,치킨케이준샐러드,반찬류,96,84,낮음,51,59,59,59
111,오이피클,반찬류,52,52,낮음,54,59,59,59
112,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
113,스파게티,면류,175,0,높음,67,67,67,67
114,치킨케이준샐러드,반찬류,108,0,높음,51,59,59,59
115,오이피클,반찬류,52,0,높음,54,59,59,59
116,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
117,스파게티,면류,175,35,높음,67,67,67,67
118,치킨케이준샐러드,반찬류,120,0,높음,51,59,59,59
119,오이피클,반찬류,52,0,높음,54,59,59,59
120,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
121,스파게티,면류,154,28,높음,67,67,67,67
122,치킨케이준샐러드,반찬류,120,120,낮음,51,59,59,59
123,오이피클,반찬류,52,0,높음,54,59,59,59
124,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
125,스파게티,면류,189,7,높음,67,67,67,67
126,치킨케이준샐러드,반찬류,120,96,낮음,51,59,59,59
127,오이피클,반찬류,52,52,낮음,54,59,59,59
128,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
129,스파게티,면류,161,133,낮음,67,67,67,67
130,치킨케이준샐러드,반찬류,72,72,낮음,51,59,59,59
131,오이피클,반찬류,17,9,보통,54,59,59,59
132,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
133,스파게티,면류,203,0,높음,67,67,67,67
134,치킨케이준샐러드,반찬류,120,0,높음,51,59,59,59
135,오이피클,반찬류,52,0,높음,54,59,59,59
136,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
137,스파게티,면류,175,77,보통,67,67,67,67
138,치킨케이준샐러드,반찬류,132,48,보통,51,59,59,59
139,오이피클,반찬류,52,26,보통,54,59,59,59
140,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
141,스파게티,면류,161,28,높음,67,67,67,67
142,치킨케이준샐러드,반찬류,120,48,보통,51,59,59,59
143,오이피클,반찬류,52,52,낮음,54,59,59,59
144,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
145,스파게티,면류,161,42,보통,67,67,67,67
146,치킨케이준샐러드,반찬류,84,24,보통,51,59,59,59
147,오이피클,반찬류,26,26,낮음,54,59,59,59
148,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
149,스파게티,면류,168,14,높음,67,67,67,67
150,치킨케이준샐러드,반찬류,120,48,보통,51,59,59,59
151,오이피클,반찬류,52,0,높음,54,59,59,59
152,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
153,스파게티,면류,168,21,높음,67,67,67,67
154,치킨케이준샐러드,반찬류,132,24,높음,51,59,59,59
155,오이피클,반찬류,52,0,높음,54,59,59,59
156,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
157,스파게티,면류,189,0,높음,67,67,67,67
158,치킨케이준샐러드,반찬류,108,0,높음,51,59,59,59
159,오이피클,반찬류,52,0,높음,54,59,59,59
160,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
161,스파게티,면류,182,105,보통,67,67,67,67
162,치킨케이준샐러드,반찬류,120,72,보통,51,59,59,59
163,오이피클,반찬류,52,26,보통,54,59,59,59
164,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
165,스파게티,면류,182,119,보통,67,67,67,67
166,치킨케이준샐러드,반찬류,120,84,보통,51,59,59,59
167,오이피클,반찬류,52,26,보통,54,59,59,59
168,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
169,스파게티,면류,175,0,높음,67,67,67,67
170,치킨케이준샐러드,반찬류,132,120,낮음,51,59,59,59
171,오이피클,반찬류,52,26,보통,54,59,59,59
172,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
173,스파게티,면류,182,42,높음,67,67,67,67
174,치킨케이준샐러드,반찬류,96,84,낮음,51,59,59,59
175,오이피클,반찬류,52,26,보통,54,59,59,59
176,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
177,스파게티,면류,168,28,높음,67,67,67,67
178,치킨케이준샐러드,반찬류,132,36,보통,51,59,59,59
179,오이피클,반찬류,52,0,높음,54,59,59,59
180,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
181,스파게티,면류,168,21,높음,67,67,67,67
182,치킨케이준샐러드,반찬류,120,72,보통,51,59,59,59
183,오이피클,반찬류,52,26,보통,54,59,59,59
184,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
185,스파게티,면류,175,91,보통,67,67,67,67
186,치킨케이준샐러드,반찬류,132,60,보통,51,59,59,59
187,오이피클,반찬류,52,52,낮음,54,59,59,59
188,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
189,스파게티,면류,175,21,높음,67,67,67,67
190,치킨케이준샐러드,반찬류,120,84,보통,51,59,59,59
191,오이피클,반찬류,52,52,낮음,54,59,59,59
192,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
193,스파게티,면류,161,7,높음,67,67,67,67
194,치킨케이준샐러드,반찬류,132,0,높음,51,59,59,59
195,오이피클,반찬류,26,0,높음,54,59,59,59
196,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
197,스파게티,면류,168,133,낮음,67,67,67,67
198,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
199,오이피클,반찬류,26,26,낮음,54,59,59,59
200,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
201,스파게티,면류,154,0,높음,67,67,67,67
202,치킨케이준샐러드,반찬류,24,0,높음,51,59,59,59
203,스파게티,면류,154,0,높음,67,67,67,67
204,치킨케이준샐러드,반찬류,96,0,높음,51,59,59,59
205,오이피클,반찬류,26,0,높음,54,59,59,59
206,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
207,스파게티,면류,168,126,보통,67,67,67,67
208,치킨케이준샐러드,반찬류,108,84,낮음,51,59,59,59
209,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
210,스파게티,면류,182,49,보통,67,67,67,67
211,치킨케이준샐러드,반찬류,108,108,낮음,51,59,59,59
212,오이피클,반찬류,52,0,높음,54,59,59,59
213,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
214,스파게티,면류,154,14,높음,67,67,67,67
215,치킨케이준샐러드,반찬류,120,48,보통,51,59,59,59
216,오이피클,반찬류,78,52,보통,54,59,59,59
217,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
218,스파게티,면류,161,42,보통,67,67,67,67
219,치킨케이준샐러드,반찬류,120,24,높음,51,59,59,59
220,오이피클,반찬류,52,0,높음,54,59,59,59
221,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
222,스파게티,면류,168,21,높음,67,67,67,67
223,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
224,오이피클,반찬류,52,26,보통,54,59,59,59
225,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
226,스파게티,면류,175,0,높음,67,67,67,67
227,치킨케이준샐러드,반찬류,72,0,높음,51,59,59,59
228,오이피클,반찬류,52,0,높음,54,59,59,59
229,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
230,스파게티,면류,168,98,보통,67,67,67,67
231,치킨케이준샐러드,반찬류,120,48,보통,51,59,59,59
232,오이피클,반찬류,52,0,높음,54,59,59,59
233,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
234,스파게티,면류,161,140,낮음,67,67,67,67
235,치킨케이준샐러드,반찬류,84,0,높음,51,59,59,59
236,오이피클,반찬류,52,0,높음,54,59,59,59
237,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
238,스파게티,면류,168,126,보통,67,67,67,67
239,치킨케이준샐러드,반찬류,132,96,보통,51,59,59,59
240,오이피클,반찬류,78,35,보통,54,59,59,59
241,스파게티,면류,168,0,높음,67,67,67,67
242,치킨케이준샐러드,반찬류,120,36,보통,51,59,59,59
243,오이피클,반찬류,26,9,보통,54,59,59,59
244,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
245,스파게티,면류,175,98,보통,67,67,67,67
246,치킨케이준샐러드,반찬류,120,120,낮음,51,59,59,59
247,오이피클,반찬류,26,26,낮음,54,59,59,59
248,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
249,스파게티,면류,168,105,보통,67,67,67,67
250,치킨케이준샐러드,반찬류,120,72,보통,51,59,59,59
251,오이피클,반찬류,52,26,보통,54,59,59,59
252,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
253,스파게티,면류,154,42,보통,67,67,67,67
254,치킨케이준샐러드,반찬류,96,12,높음,51,59,59,59
255,오이피클,반찬류,78,78,낮음,54,59,59,59
256,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
257,스파게티,면류,175,28,높음,67,67,67,67
258,치킨케이준샐러드,반찬류,120,120,낮음,51,59,59,59
259,오이피클,반찬류,52,26,보통,54,59,59,59
260,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
261,스파게티,면류,154,14,높음,67,67,67,67
262,치킨케이준샐러드,반찬류,96,60,보통,51,59,59,59
263,오이피클,반찬류,52,26,보통,54,59,59,59
264,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
265,스파게티,면류,168,0,높음,67,67,67,67
266,치킨케이준샐러드,반찬류,108,24,높음,51,59,59,59
267,오이피클,반찬류,52,0,높음,54,59,59,59
268,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
269,스파게티,면류,168,28,높음,67,67,67,67
270,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
271,오이피클,반찬류,52,26,보통,54,59,59,59
272,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
273,스파게티,면류,147,21,높음,67,67,67,67
274,치킨케이준샐러드,반찬류,120,96,낮음,51,59,59,59
275,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
276,스파게티,면류,161,14,높음,67,67,67,67
277,치킨케이준샐러드,반찬류,120,84,보통,51,59,59,59
278,오이피클,반찬류,52,52,낮음,54,59,59,59
279,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
280,스파게티,면류,147,28,높음,67,67,67,67
281,치킨케이준샐러드,반찬류,108,12,높음,51,59,59,59
282,오이피클,반찬류,78,78,낮음,54,59,59,59
283,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
284,스파게티,면류,140,42,보통,67,67,67,67
285,치킨케이준샐러드,반찬류,108,72,보통,51,59,59,59
286,오이피클,반찬류,52,52,낮음,54,59,59,59
287,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
288,스파게티,면류,154,84,보통,67,67,67,67
289,치킨케이준샐러드,반찬류,120,120,낮음,51,59,59,59
290,오이피클,반찬류,52,26,보통,54,59,59,59
291,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
292,스파게티,면류,168,28,높음,67,67,67,67
293,치킨케이준샐러드,반찬류,108,36,보통,51,59,59,59
294,오이피클,반찬류,78,0,높음,54,59,59,59
295,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
296,스파게티,면류,147,140,낮음,67,67,67,67
297,치킨케이준샐러드,반찬류,96,6,높음,51,59,59,59
298,오이피클,반찬류,69,52,보통,54,59,59,59
299,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
300,스파게티,면류,161,35,높음,67,67,67,67
301,치킨케이준샐러드,반찬류,108,60,보통,51,59,59,59
302,오이피클,반찬류,86,78,낮음,54,59,59,59
303,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
304,스파게티,면류,161,42,보통,67,67,67,67
305,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
306,오이피클,반찬류,52,26,보통,54,59,59,59
307,과일쥬스(사과),후식류,80,50,보통,85,73,73,73
308,스파게티,면류,182,56,보통,67,67,67,67
309,치킨케이준샐러드,반찬류,108,84,낮음,51,59,59,59
310,오이피클,반찬류,26,18,보통,54,59,59,59
311,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
312,스파게티,면류,182,14,높음,67,67,67,67
313,치킨케이준샐러드,반찬류,120,36,보통,51,59,59,59
314,오이피클,반찬류,52,0,높음,54,59,59,59
315,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
316,스파게티,면류,175,70,보통,67,67,67,67
317,치킨케이준샐러드,반찬류,96,84,낮음,51,59,59,59
318,오이피클,반찬류,52,52,낮음,54,59,59,59
319,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
320,스파게티,면류,182,21,높음,67,67,67,67
321,치킨케이준샐러드,반찬류,108,108,낮음,51,59,59,59
322,오이피클,반찬류,52,52,낮음,54,59,59,59
323,스파게티,면류,168,161,낮음,67,67,67,67
324,치킨케이준샐러드,반찬류,96,60,보통,51,59,59,59
325,오이피클,반찬류,26,26,낮음,54,59,59,59
326,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
327,스파게티,면류,175,168,낮음,67,67,67,67
328,치킨케이준샐러드,반찬류,108,60,보통,51,59,59,59
329,오이피클,반찬류,52,52,낮음,54,59,59,59
330,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
331,스파게티,면류,168,42,높음,67,67,67,67
332,치킨케이준샐러드,반찬류,120,36,보통,51,59,59,59
333,오이피클,반찬류,26,26,낮음,54,59,59,59
334,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
335,스파게티,면류,175,0,높음,67,67,67,67
336,치킨케이준샐러드,반찬류,96,0,높음,51,59,59,59
337,오이피클,반찬류,52,0,높음,54,59,59,59
338,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
339,스파게티,면류,168,70,보통,67,67,67,67
340,치킨케이준샐러드,반찬류,108,36,보통,51,59,59,59
341,오이피클,반찬류,52,52,낮음,54,59,59,59
342,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
343,스파게티,면류,168,21,높음,67,67,67,67
344,치킨케이준샐러드,반찬류,120,36,보통,51,59,59,59
345,오이피클,반찬류,52,52,낮음,54,59,59,59
346,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
347,스파게티,면류,161,21,높음,67,67,67,67
348,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
349,오이피클,반찬류,52,52,낮음,54,59,59,59
350,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
351,스파게티,면류,175,98,보통,67,67,67,67
352,치킨케이준샐러드,반찬류,108,84,낮음,51,59,59,59
353,오이피클,반찬류,52,26,보통,54,59,59,59
354,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
355,스파게티,면류,175,0,높음,67,67,67,67
356,치킨케이준샐러드,반찬류,108,36,보통,51,59,59,59
357,오이피클,반찬류,52,0,높음,54,59,59,59
358,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
359,스파게티,면류,182,49,보통,67,67,67,67
360,치킨케이준샐러드,반찬류,132,24,높음,51,59,59,59
361,오이피클,반찬류,52,52,낮음,54,59,59,59
362,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
363,스파게티,면류,154,21,높음,67,67,67,67
364,치킨케이준샐러드,반찬류,108,36,보통,51,59,59,59
365,오이피클,반찬류,52,18,보통,54,59,59,59
366,과일쥬스(사과),후식류,80,50,보통,85,73,73,73
367,스파게티,면류,161,7,높음,67,67,67,67
368,치킨케이준샐러드,반찬류,120,48,보통,51,59,59,59
369,오이피클,반찬류,26,0,높음,54,59,59,59
370,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
371,스파게티,면류,161,0,높음,67,67,67,67
372,치킨케이준샐러드,반찬류,96,0,높음,51,59,59,59
373,오이피클,반찬류,69,0,높음,54,59,59,59
374,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
375,스파게티,면류,168,28,높음,67,67,67,67
376,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
377,오이피클,반찬류,52,52,낮음,54,59,59,59
378,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
379,스파게티,면류,182,70,보통,67,67,67,67
380,치킨케이준샐러드,반찬류,120,12,높음,51,59,59,59
381,오이피클,반찬류,52,0,높음,54,59,59,59
382,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
383,스파게티,면류,168,0,높음,67,67,67,67
384,치킨케이준샐러드,반찬류,108,0,높음,51,59,59,59
385,오이피클,반찬류,78,0,높음,54,59,59,59
386,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
387,스파게티,면류,175,28,높음,67,67,67,67
388,치킨케이준샐러드,반찬류,96,54,보통,51,59,59,59
389,오이피클,반찬류,26,18,보통,54,59,59,59
390,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
391,스파게티,면류,168,28,높음,67,67,67,67
392,치킨케이준샐러드,반찬류,108,12,높음,51,59,59,59
393,오이피클,반찬류,52,0,높음,54,59,59,59
394,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
395,스파게티,면류,161,49,보통,67,67,67,67
396,치킨케이준샐러드,반찬류,108,0,높음,51,59,59,59
397,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
398,스파게티,면류,175,21,높음,67,67,67,67
399,치킨케이준샐러드,반찬류,108,36,보통,51,59,59,59
400,오이피클,반찬류,52,52,낮음,54,59,59,59
401,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
402,스파게티,면류,182,70,보통,67,67,67,67
403,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
404,오이피클,반찬류,52,0,높음,54,59,59,59
405,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
406,스파게티,면류,168,56,보통,67,67,67,67
407,치킨케이준샐러드,반찬류,108,84,낮음,51,59,59,59
408,오이피클,반찬류,52,52,낮음,54,59,59,59
409,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
410,스파게티,면류,168,161,낮음,67,67,67,67
411,치킨케이준샐러드,반찬류,108,96,낮음,51,59,59,59
412,오이피클,반찬류,26,26,낮음,54,59,59,59
413,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
414,스파게티,면류,175,21,높음,67,67,67,67
415,치킨케이준샐러드,반찬류,132,24,높음,51,59,59,59
416,오이피클,반찬류,26,18,보통,54,59,59,59
417,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
418,스파게티,면류,175,0,높음,67,67,67,67
419,치킨케이준샐러드,반찬류,120,0,높음,51,59,59,59
420,오이피클,반찬류,52,0,높음,54,59,59,59
421,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
422,스파게티,면류,182,14,높음,67,67,67,67
423,치킨케이준샐러드,반찬류,132,96,보통,51,59,59,59
424,오이피클,반찬류,26,26,낮음,54,59,59,59
425,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
426,스파게티,면류,189,14,높음,67,67,67,67
427,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
428,오이피클,반찬류,52,0,높음,54,59,59,59
429,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
430,스파게티,면류,182,98,보통,67,67,67,67
431,치킨케이준샐러드,반찬류,120,0,높음,51,59,59,59
432,오이피클,반찬류,52,0,높음,54,59,59,59
433,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
434,스파게티,면류,161,14,높음,67,67,67,67
435,치킨케이준샐러드,반찬류,120,108,낮음,51,59,59,59
436,오이피클,반찬류,78,26,보통,54,59,59,59
437,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
438,스파게티,면류,175,14,높음,67,67,67,67
439,치킨케이준샐러드,반찬류,132,72,보통,51,59,59,59
440,오이피클,반찬류,69,69,낮음,54,59,59,59
441,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
442,스파게티,면류,182,140,낮음,67,67,67,67
443,치킨케이준샐러드,반찬류,132,120,낮음,51,59,59,59
444,오이피클,반찬류,52,0,높음,54,59,59,59
445,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
446,스파게티,면류,182,42,높음,67,67,67,67
447,치킨케이준샐러드,반찬류,132,108,낮음,51,59,59,59
448,오이피클,반찬류,78,52,보통,54,59,59,59
449,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
450,스파게티,면류,168,0,높음,67,67,67,67
451,치킨케이준샐러드,반찬류,120,0,높음,51,59,59,59
452,오이피클,반찬류,52,0,높음,54,59,59,59
453,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
454,스파게티,면류,168,28,높음,67,67,67,67
455,치킨케이준샐러드,반찬류,96,0,높음,51,59,59,59
456,오이피클,반찬류,52,52,낮음,54,59,59,59
457,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
458,스파게티,면류,161,0,높음,67,67,67,67
459,치킨케이준샐러드,반찬류,96,0,높음,51,59,59,59
460,오이피클,반찬류,26,0,높음,54,59,59,59
461,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
462,스파게티,면류,161,133,낮음,67,67,67,67
463,치킨케이준샐러드,반찬류,108,48,보통,51,59,59,59
464,오이피클,반찬류,26,0,높음,54,59,59,59
465,스파게티,면류,161,0,높음,67,67,67,67
466,치킨케이준샐러드,반찬류,120,0,높음,51,59,59,59
467,오이피클,반찬류,26,0,높음,54,59,59,59
468,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
469,스파게티,면류,175,98,보통,67,67,67,67
470,치킨케이준샐러드,반찬류,120,24,높음,51,59,59,59
471,스파게티,면류,161,42,보통,67,67,67,67
472,치킨케이준샐러드,반찬류,108,108,낮음,51,59,59,59
